SETTLEMENTDATE,REGIONID,AVGRRP,PEAKRRP
2023/10/01 00:00:00,TAS1,-6.43000000,N/A
2023/10/01 00:00:00,VIC1,-22.24000000,N/A
2023/10/01 00:00:00,QLD1,10.66000000,N/A
2023/10/01 00:00:00,SA1,-21.89000000,N/A
2023/10/01 00:00:00,NSW1,14.22000000,N/A
2023/10/02 00:00:00,VIC1,8.13000000,-10.42000000
2023/10/02 00:00:00,TAS1,29.55000000,23.96000000
2023/10/02 00:00:00,SA1,-1.42000000,-22.64000000
2023/10/02 00:00:00,QLD1,23.74000000,6.39000000
2023/10/02 00:00:00,NSW1,31.69000000,17.53000000
2023/10/03 00:00:00,SA1,49.16000000,56.58000000
2023/10/03 00:00:00,QLD1,49.07000000,43.85000000
2023/10/03 00:00:00,TAS1,49.16000000,55.69000000
2023/10/03 00:00:00,VIC1,66.92000000,87.35000000
2023/10/03 00:00:00,NSW1,80.09000000,93.28000000
2023/10/04 00:00:00,QLD1,67.56000000,63.99000000
2023/10/04 00:00:00,NSW1,71.49000000,72.83000000
2023/10/04 00:00:00,SA1,30.84000000,7.26000000
2023/10/04 00:00:00,TAS1,60.15000000,59.06000000
2023/10/04 00:00:00,VIC1,52.40000000,45.61000000
2023/10/05 00:00:00,SA1,27.49000000,12.81000000
2023/10/05 00:00:00,NSW1,28.50000000,14.50000000
2023/10/05 00:00:00,QLD1,42.93000000,31.37000000
2023/10/05 00:00:00,TAS1,42.25000000,35.14000000
2023/10/05 00:00:00,VIC1,23.00000000,9.09000000
2023/10/06 00:00:00,TAS1,40.07000000,34.43000000
2023/10/06 00:00:00,NSW1,58.03000000,57.59000000
2023/10/06 00:00:00,VIC1,32.66000000,20.85000000
2023/10/06 00:00:00,SA1,36.96000000,22.71000000
2023/10/06 00:00:00,QLD1,27.26000000,10.47000000
2023/10/07 00:00:00,NSW1,41.00000000,N/A
2023/10/07 00:00:00,VIC1,31.53000000,N/A
2023/10/07 00:00:00,TAS1,41.96000000,N/A
2023/10/07 00:00:00,QLD1,38.98000000,N/A
2023/10/07 00:00:00,SA1,31.19000000,N/A
2023/10/08 00:00:00,TAS1,38.50000000,N/A
2023/10/08 00:00:00,NSW1,40.74000000,N/A
2023/10/08 00:00:00,VIC1,32.93000000,N/A
2023/10/08 00:00:00,QLD1,33.61000000,N/A
2023/10/08 00:00:00,SA1,35.57000000,N/A
2023/10/09 00:00:00,SA1,43.20000000,35.44000000
2023/10/09 00:00:00,QLD1,32.08000000,16.51000000
2023/10/09 00:00:00,NSW1,40.33000000,27.23000000
2023/10/09 00:00:00,TAS1,44.73000000,37.73000000
2023/10/09 00:00:00,VIC1,41.88000000,34.89000000
2023/10/10 00:00:00,TAS1,55.92000000,50.95000000
2023/10/10 00:00:00,SA1,69.08000000,69.65000000
2023/10/10 00:00:00,QLD1,40.29000000,24.72000000
2023/10/10 00:00:00,VIC1,56.62000000,56.69000000
2023/10/10 00:00:00,NSW1,70.76000000,70.49000000
2023/10/11 00:00:00,NSW1,44.97000000,35.71000000
2023/10/11 00:00:00,TAS1,28.32000000,20.33000000
2023/10/11 00:00:00,VIC1,1.41000000,-22.17000000
2023/10/11 00:00:00,SA1,7.40000000,-17.52000000
2023/10/11 00:00:00,QLD1,33.54000000,18.21000000
2023/10/12 00:00:00,VIC1,11.43000000,9.26000000
2023/10/12 00:00:00,SA1,-14.08000000,-33.21000000
2023/10/12 00:00:00,NSW1,42.34000000,37.82000000
2023/10/12 00:00:00,QLD1,18.71000000,0.91000000
2023/10/12 00:00:00,TAS1,21.72000000,23.96000000
2023/10/13 00:00:00,QLD1,16.03000000,-0.62000000
2023/10/13 00:00:00,NSW1,21.59000000,8.66000000
2023/10/13 00:00:00,SA1,5.91000000,-1.23000000
2023/10/13 00:00:00,VIC1,4.47000000,0.97000000
2023/10/13 00:00:00,TAS1,14.49000000,13.66000000
2023/10/14 00:00:00,TAS1,2.58000000,N/A
2023/10/14 00:00:00,VIC1,-12.41000000,N/A
2023/10/14 00:00:00,SA1,-7.87000000,N/A
2023/10/14 00:00:00,NSW1,14.82000000,N/A
2023/10/14 00:00:00,QLD1,16.52000000,N/A
2023/10/15 00:00:00,VIC1,20.90000000,N/A
2023/10/15 00:00:00,NSW1,30.96000000,N/A
2023/10/15 00:00:00,QLD1,29.40000000,N/A
2023/10/15 00:00:00,SA1,25.72000000,N/A
2023/10/15 00:00:00,TAS1,27.03000000,N/A
2023/10/16 00:00:00,TAS1,17.75000000,21.93000000
2023/10/16 00:00:00,SA1,-3.50000000,-7.53000000
2023/10/16 00:00:00,QLD1,86.64000000,106.37000000
2023/10/16 00:00:00,NSW1,37.38000000,27.56000000
2023/10/16 00:00:00,VIC1,-5.77000000,-9.98000000
2023/10/17 00:00:00,TAS1,44.61000000,43.14000000
2023/10/17 00:00:00,NSW1,49.93000000,44.48000000
2023/10/17 00:00:00,QLD1,39.17000000,26.25000000
2023/10/17 00:00:00,SA1,41.01000000,36.55000000
2023/10/17 00:00:00,VIC1,37.95000000,33.58000000
2023/10/18 00:00:00,VIC1,61.23000000,63.49000000
2023/10/18 00:00:00,QLD1,71.22000000,74.78000000
